species,presence,x,y,date,accuracy,source,key,datasetKey
Bromus rubens,1,-122.535393,38.123115,2015-04-02T00:00:00Z,706,Calflora,NA,NA
Bromus rubens,1,-121.222807,38.850622,2023-04-13T00:00:00Z,624,Calflora,NA,NA
Bromus rubens,1,-122.643612,37.928921,2015-05-07T00:00:00Z,615,Calflora,NA,NA
Bromus rubens,1,-123.13319,38.62013,2021-05-15T00:00:00Z,491,Calflora,NA,NA
Bromus rubens,1,-118.99525,35.57512,2021-06-28T00:00:00Z,452,Calflora,NA,NA
Bromus rubens,1,-116.713044,33.011599,2019-04-28T00:00:00Z,452,Calflora,NA,NA
Bromus rubens,1,-120.425175,35.323587,2019-01-01T00:00:00Z,452,Calflora,NA,NA
Bromus rubens,1,-122.294147,37.4873,2019-04-26T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-122.593221,38.144931,2015-03-24T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.874084,32.634857,2012-06-05T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.936342,32.695794,2012-06-05T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.928342,32.67069,2012-06-04T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.94725,32.7062,2012-06-01T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.974092,32.67605,2012-05-28T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.962407,32.719151,2012-05-23T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.919918,32.733045,2012-05-22T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.870623,32.735275,2012-05-16T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.899107,32.714924,2012-05-15T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.853408,32.759366,2012-05-14T00:00:00Z,314,Calflora,NA,NA
Bromus rubens,1,-116.424469,33.224476,2019-04-06T00:00:00Z,254,Calflora,NA,NA
Bromus rubens,1,-121.623181,39.868788,2022-05-29T00:00:00Z,227,Calflora,NA,NA
Bromus rubens,1,-121.566656,39.688026,2023-04-18T00:00:00Z,113,Calflora,NA,NA
Bromus rubens,1,-119.03382,35.53852,2021-11-09T00:00:00Z,113,Calflora,NA,NA
Bromus rubens,1,-117.52185,34.10616,2020-09-24T00:00:00Z,113,Calflora,NA,NA
Bromus rubens,1,-118.21809,34.52988,2020-09-23T00:00:00Z,113,Calflora,NA,NA
Bromus rubens,1,-119.291913,34.317397,2019-05-29T00:00:00Z,113,Calflora,NA,NA
Bromus rubens,1,-118.340515,35.094797,2019-05-14T00:00:00Z,113,Calflora,NA,NA
Bromus rubens,1,-121.692514,39.726517,2023-05-09T00:00:00Z,86,Calflora,NA,NA
Bromus rubens,1,-118.511038,33.45132,2019-05-23T00:00:00Z,78,Calflora,NA,NA
Bromus rubens,1,-118.47353,33.388149,2019-05-01T00:00:00Z,78,Calflora,NA,NA
Bromus rubens,1,-118.04661,33.695612,2019-04-17T00:00:00Z,78,Calflora,NA,NA
Bromus rubens,1,-118.376309,35.675772,2018-05-06T00:00:00Z,78,Calflora,NA,NA
Bromus rubens,1,-122.668801,37.943505,2015-05-07T00:00:00Z,78,Calflora,NA,NA
Bromus rubens,1,-118.48062,34.34177,2023-05-23T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-119.6973,34.44038,2023-05-12T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-118.35061,34.28796,2023-05-02T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-117.623371,33.678551,2023-04-16T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-117.553903,33.53486,2022-02-10T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-117.67348,33.90381,2020-08-26T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-118.276569,35.043249,2019-08-13T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-116.4011,33.649002,2019-03-29T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-118.711566,34.111307,2011-05-08T00:00:00Z,50,Calflora,NA,NA
Bromus rubens,1,-122.541566,37.913185,2015-06-03T00:00:00Z,47,Calflora,NA,NA
Bromus rubens,1,-117.572862,33.560905,2022-04-30T00:00:00Z,28,Calflora,NA,NA
Bromus rubens,1,-115.401347,34.029982,2019-03-20T00:00:00Z,28,Calflora,NA,NA
Bromus rubens,1,-122.296456,37.446434000000004,2016-09-16T00:00:00Z,28,Calflora,NA,NA
Bromus rubens,1,-122.172072,37.309867,2022-05-17T00:00:00Z,NA,Calflora,NA,NA
Bromus rubens,1,-122.391788,37.564013,2022-04-26T00:00:00Z,NA,Calflora,NA,NA
Bromus rubens,1,-121.883842,37.908897,2022-04-23T00:00:00Z,NA,Calflora,NA,NA
Bromus rubens,1,-117.598496,33.574061,2022-03-19T00:00:00Z,NA,Calflora,NA,NA
Bromus rubens,1,-118.189089,34.222558,2022-03-06T00:00:00Z,NA,Calflora,NA,NA
Bromus rubens,1,-121.899501,37.159992,2021-04-05T00:00:00Z,NA,Calflora,NA,NA
Bromus rubens,1,-117.280301,34.52496,2020-12-20T00:00:00Z,NA,Calflora,NA,NA
