species,presence,x,y,date,accuracy,source
Bromus rubens,1,-117.590866,33.394639,2019-01-26,706,Calflora
Bromus rubens,1,-122.535393,38.123115,2015-04-02,706,Calflora
Bromus rubens,1,-121.222807,38.850622,2023-04-13,624,Calflora
Bromus rubens,1,-119.67046,34.446746,2021-04-12,615,Calflora
Bromus rubens,1,-122.643612,37.928921,2015-05-07,615,Calflora
Bromus rubens,1,-123.13319,38.62013,2021-05-15,491,Calflora
Bromus rubens,1,-118.99525,35.57512,2021-06-28,452,Calflora
Bromus rubens,1,-116.713044,33.011599,2019-04-28,452,Calflora
Bromus rubens,1,-120.425175,35.323587,2019-01-01,452,Calflora
Bromus rubens,1,-117.71588,34.11421,2021-04-28,314,Calflora
Bromus rubens,1,-117.140556,32.922134,2019-10-24,314,Calflora
Bromus rubens,1,-115.10674,35.35999,2019-05-25,314,Calflora
Bromus rubens,1,-115.15111,35.36835,2019-05-25,314,Calflora
Bromus rubens,1,-122.294147,37.4873,2019-04-26,314,Calflora
Bromus rubens,1,-118.408933,34.123209,2019-04-25,314,Calflora
Bromus rubens,1,-118.471108,34.171928,2019-04-10,314,Calflora
Bromus rubens,1,-116.25049,34.11468,2019-03-30,314,Calflora
Bromus rubens,1,-116.282105,32.842617,2019-03-24,314,Calflora
Bromus rubens,1,-115.92633,33.80935,2019-03-21,314,Calflora
Bromus rubens,1,-117.069153,33.060179,2016-02-17,314,Calflora
Bromus rubens,1,-122.593221,38.144931,2015-03-24,314,Calflora
Bromus rubens,1,-116.875713,32.625909,2012-06-05,314,Calflora
Bromus rubens,1,-116.874084,32.634857,2012-06-05,314,Calflora
Bromus rubens,1,-116.936342,32.695794,2012-06-05,314,Calflora
Bromus rubens,1,-116.948232,32.671563,2012-06-05,314,Calflora
Bromus rubens,1,-116.947677,32.68229,2012-06-05,314,Calflora
Bromus rubens,1,-116.951555,32.716701,2012-06-04,314,Calflora
Bromus rubens,1,-116.928342,32.67069,2012-06-04,314,Calflora
Bromus rubens,1,-116.94725,32.7062,2012-06-01,314,Calflora
Bromus rubens,1,-116.964165,32.69557,2012-05-31,314,Calflora
Bromus rubens,1,-116.962634,32.685853,2012-05-30,314,Calflora
Bromus rubens,1,-116.971444,32.703492,2012-05-29,314,Calflora
Bromus rubens,1,-116.978572,32.691965,2012-05-29,314,Calflora
Bromus rubens,1,-116.974092,32.67605,2012-05-28,314,Calflora
Bromus rubens,1,-116.984039,32.68133,2012-05-28,314,Calflora
Bromus rubens,1,-116.932673,32.719836,2012-05-24,314,Calflora
Bromus rubens,1,-116.951417,32.736603,2012-05-23,314,Calflora
Bromus rubens,1,-116.962407,32.719151,2012-05-23,314,Calflora
Bromus rubens,1,-116.919918,32.733045,2012-05-22,314,Calflora
Bromus rubens,1,-116.932793,32.739521,2012-05-22,314,Calflora
Bromus rubens,1,-116.930886,32.728133,2012-05-21,314,Calflora
Bromus rubens,1,-116.940218,32.730409,2012-05-18,314,Calflora
Bromus rubens,1,-116.89448,32.737317,2012-05-17,314,Calflora
Bromus rubens,1,-116.883211,32.729713,2012-05-17,314,Calflora
Bromus rubens,1,-116.859877,32.749071,2012-05-16,314,Calflora
Bromus rubens,1,-116.870623,32.735275,2012-05-16,314,Calflora
Bromus rubens,1,-116.877427,32.768559,2012-05-16,314,Calflora
Bromus rubens,1,-116.884299,32.762222,2012-05-16,314,Calflora
