species,presence,x,y,key,datasetKey,date,accuracy,source
Bromus rubens,1,-112.012738,33.415283,4131106325,e05fd4c2-4d77-4c50-880e-1b22096af300,2023-02-28T00:00:00Z,NA,GBIF
Bromus rubens,1,-111.566892,33.550103,4131109332,e05fd4c2-4d77-4c50-880e-1b22096af300,2023-03-17T00:00:00Z,NA,GBIF
Bromus rubens,1,-116.52739,33.78181,4403413323,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,2023-03-31T00:00:00Z,NA,GBIF
Bromus rubens,1,-111.459705,33.854555,4131107330,e05fd4c2-4d77-4c50-880e-1b22096af300,2023-04-05T00:00:00Z,NA,GBIF
Bromus rubens,1,-117.76369,33.60722,4095566358,7fc39a52-0d5c-40e1-a6a7-c64068a1fa76,2023-04-28T00:00:00Z,NA,GBIF
Bromus rubens,1,-116.27853,36.16397,4403353466,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,2023-04-18T00:00:00Z,NA,GBIF
Bromus rubens,1,-116.30019,35.92981,4403353355,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,2023-04-20T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.2909,34.3426,4154098357,62cccd4d-eafc-4287-a070-5701aa6ef4a2,2023-05-03T00:00:00Z,5,GBIF
Bromus rubens,1,-117.6028,33.7593,3503021310,b2d55172-8980-4195-9632-a186edb27d5a,2022-02-25T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.10996,34.13297,3799648309,ed3d96f2-db7b-48cd-9960-f871e7df7286,2022-02-18T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.10416,34.09828,3872260302,ed3d96f2-db7b-48cd-9960-f871e7df7286,2022-02-18T00:00:00Z,NA,GBIF
Bromus rubens,1,-117.5986,33.7965,3758948411,b2d55172-8980-4195-9632-a186edb27d5a,2022-03-14T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.49467,33.22329,3758987312,ed3d96f2-db7b-48cd-9960-f871e7df7286,2022-03-01T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.45987,33.22906,3799650309,ed3d96f2-db7b-48cd-9960-f871e7df7286,2022-03-02T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.08008,34.09951,3872270319,ed3d96f2-db7b-48cd-9960-f871e7df7286,2022-03-24T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.90445,34.056844,4040320392,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-18T00:00:00Z,100,GBIF
Bromus rubens,1,-119.706244,33.983247,4040320471,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-23T00:00:00Z,100,GBIF
Bromus rubens,1,-116.90833,33.83889,4041212307,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,2022-03-18T00:00:00Z,NA,GBIF
Bromus rubens,1,-116.575,33.86667,4041211320,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,2022-03-11T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.680608,33.990859,4040320325,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-16T00:00:00Z,100,GBIF
Bromus rubens,1,-119.671835,33.99031,4040320496,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-16T00:00:00Z,100,GBIF
Bromus rubens,1,-119.695772,33.994295,4070431478,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-16T00:00:00Z,100,GBIF
Bromus rubens,1,-119.751447,33.963468,4070431432,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-17T00:00:00Z,100,GBIF
Bromus rubens,1,-119.763734,33.987377,4078144346,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-17T00:00:00Z,100,GBIF
Bromus rubens,1,-118.8009,35.3053,4126311437,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-03-04T00:00:00Z,50,GBIF
Bromus rubens,1,-122.3477,39.156,4403331332,c267909d-184f-4138-9e67-a074d478d52b,2022-03-08T00:00:00Z,10,GBIF
Bromus rubens,1,-122.374391,37.72733,3798621309,f934f8e2-32ca-46a7-b2f8-b032a4740454,2022-03-05T00:00:00Z,NA,GBIF
Bromus rubens,1,-119.770501,34.905455,4104083489,ed3d96f2-db7b-48cd-9960-f871e7df7286,2022-04-06T00:00:00Z,NA,GBIF
Bromus rubens,1,-118.72462,34.74688,3897611435,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-05-17T00:00:00Z,4,GBIF
Bromus rubens,1,-118.59911,34.61944,3897612051,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-06-17T00:00:00Z,5,GBIF
Bromus rubens,1,-118.72278,34.64364,3988014619,f56df26e-73f5-4d37-bfed-3d46c0834e82,2022-09-27T00:00:00Z,6,GBIF
Bromus rubens,1,-117.604958,34.16465,3968518327,44525bc9-4412-441a-9890-1df3d289e3f6,2021-03-30T00:00:00Z,100,GBIF
