species,presence,x,y,date,accuracy,source
Bromus rubens,1,-118.844172,35.6498,2013-04-07,5,INaturalist
Bromus rubens,1,-117.193763,32.92603,2015-03-11,68,INaturalist
Bromus rubens,1,-118.756149,34.115353,2015-04-05,47,INaturalist
Bromus rubens,1,-119.649527,37.066073,2015-04-11,5,INaturalist
Bromus rubens,1,-111.763275,36.054322,2015-05-01,5,INaturalist
Bromus rubens,1,-118.536214,35.315029,2015-05-09,5,INaturalist
Bromus rubens,1,-118.643653,34.854172,2015-05-08,54,INaturalist
Bromus rubens,1,-112.017751,34.749827,2015-05-25,54,INaturalist
Bromus rubens,1,-118.250208,34.250708,2015-06-04,96,INaturalist
Bromus rubens,1,-117.250608,32.89381,2015-05-31,274,INaturalist
Bromus rubens,1,-117.887575,34.16324,2015-06-08,50,INaturalist
Bromus rubens,1,-118.815486,34.129954,2015-06-18,5,INaturalist
Bromus rubens,1,-116.78938,33.111683,2015-06-06,552,INaturalist
Bromus rubens,1,-118.921429,34.388794,2015-07-14,5,INaturalist
Bromus rubens,1,-118.646993,34.267758,2015-07-18,10,INaturalist
Bromus rubens,1,-117.203093,32.906689,2015-07-11,152,INaturalist
Bromus rubens,1,-116.664435,34.809066,2016-01-24,218,INaturalist
Bromus rubens,1,-118.772179,34.184533,2016-02-18,3,INaturalist
Bromus rubens,1,-116.9033803,36.81489553,2016-03-12,5,INaturalist
Bromus rubens,1,-114.8084605,36.03736413,2016-03-19,5,INaturalist
Bromus rubens,1,-114.5735832,35.19402929,2016-03-19,18,INaturalist
Bromus rubens,1,-117.00319,33.23945,2016-03-25,38,INaturalist
Bromus rubens,1,-118.5293833,34.05084725,2016-03-28,30,INaturalist
Bromus rubens,1,-118.728987,34.145521,2016-04-02,4,INaturalist
Bromus rubens,1,-115.6754442,34.8510726,2016-04-01,4,INaturalist
Bromus rubens,1,-118.0208188,34.19869177,2016-04-14,12,INaturalist
Bromus rubens,1,-118.2932379,34.14325286,2016-04-15,8,INaturalist
Bromus rubens,1,-118.1572754,34.2542685,2016-04-16,8,INaturalist
Bromus rubens,1,-118.826921,34.129595,2016-04-19,6,INaturalist
Bromus rubens,1,-116.838843,34.938466,2016-04-22,217,INaturalist
Bromus rubens,1,-115.4986614,35.26304841,2016-05-12,3,INaturalist
Bromus rubens,1,-115.124994,35.51482877,2016-05-17,7,INaturalist
Bromus rubens,1,-116.425917,33.586488,2016-04-16,110,INaturalist
Bromus rubens,1,-118.254886,34.312954,2016-08-27,318,INaturalist
Bromus rubens,1,-118.9697456,34.14075212,2017-02-09,244,INaturalist
Bromus rubens,1,-117.2292709,32.75115275,2017-03-18,15,INaturalist
Bromus rubens,1,-117.7833569,33.65742553,2017-03-22,5,INaturalist
Bromus rubens,1,-122.603817,38.13172105,2017-03-23,136,INaturalist
Bromus rubens,1,-118.38666,34.26952333,2017-04-15,25,INaturalist
Bromus rubens,1,-119.3635368,35.33276232,2017-04-11,61,INaturalist
Bromus rubens,1,-111.5916109,36.86573371,2017-04-08,31,INaturalist
Bromus rubens,1,-118.2011245,34.0980785,2017-04-15,103,INaturalist
Bromus rubens,1,-118.2131844,34.20014324,2017-04-17,5,INaturalist
Bromus rubens,1,-114.95927,36.09367711,2017-04-29,5,INaturalist
Bromus rubens,1,-112.0816647,33.58374776,2017-05-06,5,INaturalist
Bromus rubens,1,-121.7801528,36.68382838,2017-05-06,10,INaturalist
Bromus rubens,1,-109.8429823,32.73992712,2017-05-05,61,INaturalist
Bromus rubens,1,-122.546394,38.64376708,2017-05-11,5,INaturalist
Bromus rubens,1,-117.3445722,33.18021635,2017-05-18,305,INaturalist
Bromus rubens,1,-116.182415,34.10516,2017-06-10,109,INaturalist
Bromus rubens,1,-116.480205,33.221205,2017-03-25,111,INaturalist
Bromus rubens,1,-116.1636829,34.0014428,2017-06-22,244,INaturalist
Bromus rubens,1,-112.0738506,33.33992212,2017-08-19,369,INaturalist
Bromus rubens,1,-116.0707001,34.04014464,2017-09-15,30,INaturalist
Bromus rubens,1,-116.9443959,32.5558837,2017-09-18,2,INaturalist
Bromus rubens,1,-117.9847584,35.64408682,2017-09-23,5,INaturalist
Bromus rubens,1,-116.1730723,33.93303097,2017-10-27,9,INaturalist
Bromus rubens,1,-116.8061871,32.7352492,2017-10-30,2,INaturalist
Bromus rubens,1,-116.43813,34.05434,2017-11-04,5,INaturalist
Bromus rubens,1,-115.38623,36.19743333,2017-11-22,5,INaturalist
Bromus rubens,1,-111.792305,34.864348,2017-05-21,28,INaturalist
Bromus rubens,1,-116.15595,34.0668,2018-01-11,150,INaturalist
Bromus rubens,1,-115.4601833,36.0360555,2018-01-12,5,INaturalist
Bromus rubens,1,-116.1854903,34.04068158,2018-02-21,6,INaturalist
Bromus rubens,1,-119.60408,35.29952,2018-02-27,5,INaturalist
Bromus rubens,1,-112.5458,33.91558,2018-03-06,5,INaturalist
Bromus rubens,1,-110.897025,32.43131667,2018-03-15,20,INaturalist
Bromus rubens,1,-118.1176305,34.58436167,2018-03-18,5,INaturalist
Bromus rubens,1,-117.4696917,33.89526313,2018-03-25,7,INaturalist
Bromus rubens,1,-118.266512,37.254011,2010-05-07,5,INaturalist
Bromus rubens,1,-116.5339589,34.1081991,2018-03-31,24,INaturalist
Bromus rubens,1,-116.1418444,34.02522222,2018-03-30,8,INaturalist
Bromus rubens,1,-116.1736222,34.01488611,2018-04-01,6,INaturalist
Bromus rubens,1,-120.3299467,35.4761,2018-04-08,10,INaturalist
Bromus rubens,1,-116.5632158,33.78006941,2018-04-07,61,INaturalist
Bromus rubens,1,-115.379455,36.13902217,2018-04-11,5,INaturalist
Bromus rubens,1,-115.3498921,36.159539,2018-04-14,10,INaturalist
Bromus rubens,1,-122.386505,38.50328833,2018-04-15,5,INaturalist
Bromus rubens,1,-116.01383,33.88847,2018-04-01,50,INaturalist
Bromus rubens,1,-118.3050667,34.23402381,2018-04-27,5,INaturalist
Bromus rubens,1,-117.2912831,33.16520736,2018-04-27,5,INaturalist
Bromus rubens,1,-116.6745077,32.57912769,2018-04-27,7,INaturalist
Bromus rubens,1,-116.4488339,32.74723657,2018-04-27,479,INaturalist
Bromus rubens,1,-117.873716,34.49648568,2018-04-27,3,INaturalist
Bromus rubens,1,-118.610732,34.2743912,2018-04-27,28,INaturalist
Bromus rubens,1,-118.6267662,34.26114327,2018-04-27,61,INaturalist
Bromus rubens,1,-117.2197782,32.8420949,2018-04-28,122,INaturalist
Bromus rubens,1,-117.3677352,33.2252067,2018-04-28,5,INaturalist
Bromus rubens,1,-117.0835708,32.96671752,2018-04-28,5,INaturalist
Bromus rubens,1,-116.6429413,34.02036723,2018-04-28,9,INaturalist
Bromus rubens,1,-118.31852,33.73272,2018-04-28,5,INaturalist
Bromus rubens,1,-117.2232137,32.803387,2018-04-29,5,INaturalist
Bromus rubens,1,-122.3819117,37.709025,2018-04-29,5,INaturalist
Bromus rubens,1,-116.9717167,33.04474167,2018-04-29,5,INaturalist
Bromus rubens,1,-116.7600867,32.799475,2018-04-29,0,INaturalist
Bromus rubens,1,-116.7647167,33.248045,2018-04-29,12,INaturalist
Bromus rubens,1,-117.0230409,33.01891788,2018-04-28,688,INaturalist
Bromus rubens,1,-116.782019,33.00091767,2018-04-29,8,INaturalist
Bromus rubens,1,-117.1836296,32.8776217,2018-04-29,49,INaturalist
Bromus rubens,1,-117.1098722,32.780045,2018-04-30,10,INaturalist
Bromus rubens,1,-112.0895694,36.06954444,2018-04-21,5,INaturalist
Bromus rubens,1,-116.1400545,34.07964604,2018-05-03,5,INaturalist
Bromus rubens,1,-117.8391737,33.69677108,2018-05-03,9,INaturalist
Bromus rubens,1,-118.0939049,34.19015096,2018-04-28,19,INaturalist
Bromus rubens,1,-122.4932333,38.45318333,2018-05-05,5,INaturalist
Bromus rubens,1,-121.4561936,36.12049943,2018-05-05,7,INaturalist
Bromus rubens,1,-118.3763086,35.67577151,2018-05-06,5,INaturalist
Bromus rubens,1,-117.2202402,32.89799356,2018-05-06,8,INaturalist
Bromus rubens,1,-121.0782034,36.51071697,2018-05-08,65,INaturalist
Bromus rubens,1,-114.4695866,35.47261919,2018-05-09,5,INaturalist
Bromus rubens,1,-116.1173695,34.0511195,2018-05-09,10,INaturalist
Bromus rubens,1,-116.576765,33.087097,2018-04-28,111,INaturalist
Bromus rubens,1,-122.6207012,37.96277529,2018-05-19,5,INaturalist
Bromus rubens,1,-120.1172671,36.09059965,2018-05-17,5,INaturalist
Bromus rubens,1,-116.7115446,33.00834035,2018-05-22,7,INaturalist
Bromus rubens,1,-118.501105,35.66307,2018-05-24,5,INaturalist
Bromus rubens,1,-121.8712638,37.1603045,2018-05-25,191,INaturalist
Bromus rubens,1,-118.3087617,34.14383333,2018-05-27,8,INaturalist
Bromus rubens,1,-116.3742535,34.0695947,2018-05-26,6,INaturalist
Bromus rubens,1,-122.4666874,38.36778106,2018-06-09,688,INaturalist
Bromus rubens,1,-118.2429607,34.10442388,2018-04-11,165,INaturalist
Bromus rubens,1,-110.8720033,32.60113667,2018-06-14,5,INaturalist
Bromus rubens,1,-121.03185,36.66745,2018-05-04,5,INaturalist
Bromus rubens,1,-116.2393259,34.03164607,2018-12-17,5,INaturalist
Bromus rubens,1,-116.1958008,34.01703511,2018-12-18,5,INaturalist
Bromus rubens,1,-112.2165924,33.77564867,2019-01-21,5,INaturalist
Bromus rubens,1,-117.5908658,33.39463928,2019-01-26,15,INaturalist
Bromus rubens,1,-112.0076139,33.86342,2019-02-02,5,INaturalist
Bromus rubens,1,-113.996475,34.47752,2019-02-02,5,INaturalist
Bromus rubens,1,-118.352618,33.34431319,2019-02-09,10,INaturalist
Bromus rubens,1,-111.7743917,33.62586167,2019-02-11,5,INaturalist
Bromus rubens,1,-110.9313283,32.27908333,2019-02-18,5,INaturalist
Bromus rubens,1,-114.6811449,35.22580373,2017-04-03,257,INaturalist
Bromus rubens,1,-111.8089844,33.77656548,2019-03-03,5,INaturalist
Bromus rubens,1,-112.13513879999999,33.31428667,2019-03-09,5,INaturalist
Bromus rubens,1,-112.1054698,33.32989739,2019-03-09,120,INaturalist
Bromus rubens,1,-111.5718905,33.55490116,2013-04-12,244,INaturalist
Bromus rubens,1,-117.3068923,33.14056909,2019-03-13,5,INaturalist
Bromus rubens,1,-117.2934053,33.35584026,2019-03-13,32,INaturalist
Bromus rubens,1,-117.2467299,33.01089488,2019-03-13,5,INaturalist
Bromus rubens,1,-113.4522535,34.53595894,2019-03-14,9,INaturalist
Bromus rubens,1,-117.2664244,33.88648404,2019-03-14,5,INaturalist
Bromus rubens,1,-110.838199,32.30850939,2019-03-14,31,INaturalist
Bromus rubens,1,-117.9779627,33.6427678,2019-03-16,12,INaturalist
Bromus rubens,1,-112.1707467,33.75407833,2019-03-09,5,INaturalist
Bromus rubens,1,-111.8408967,34.61182833,2019-03-18,5,INaturalist
Bromus rubens,1,-117.0110723,33.70091413,2019-03-17,104,INaturalist
Bromus rubens,1,-111.8173772,33.7919319,2019-03-19,5,INaturalist
Bromus rubens,1,-119.0401612,33.470225,2019-03-21,5,INaturalist
Bromus rubens,1,-112.7731072,33.96565512,2019-03-22,6,INaturalist
Bromus rubens,1,-119.8271688,35.26961465,2019-03-23,5,INaturalist
Bromus rubens,1,-114.5387128,35.18056502,2019-03-24,5,INaturalist
Bromus rubens,1,-111.5038797,33.68295006,2019-03-19,5,INaturalist
Bromus rubens,1,-115.92633,33.80935,2019-03-21,10,INaturalist
Bromus rubens,1,-116.282105,32.84261667,2019-03-24,10,INaturalist
Bromus rubens,1,-110.9799944,32.45831667,2019-03-25,5,INaturalist
Bromus rubens,1,-117.6322564,33.69073966,2019-03-23,15,INaturalist
Bromus rubens,1,-111.8266592,33.76921651,2019-03-26,3,INaturalist
Bromus rubens,1,-111.8049383,33.76239667,2019-03-28,4,INaturalist
Bromus rubens,1,-116.4010996,33.64900222,2019-03-29,4,INaturalist
Bromus rubens,1,-112.7374337,33.99151842,2019-03-25,466,INaturalist
Bromus rubens,1,-111.84382,33.759995,2019-03-30,5,INaturalist
Bromus rubens,1,-116.3916464,33.4035443,2019-03-26,50,INaturalist
Bromus rubens,1,-116.4438568,33.23619768,2019-03-30,10,INaturalist
Bromus rubens,1,-111.5904917,33.47898833,2019-03-31,6,INaturalist
Bromus rubens,1,-110.9023283,32.463755,2019-03-29,6,INaturalist
Bromus rubens,1,-112.7115783,32.01657778,2019-03-30,5,INaturalist
Bromus rubens,1,-115.4013467,34.02998231,2019-03-20,3,INaturalist
Bromus rubens,1,-115.804059,33.9528532,2019-03-31,3,INaturalist
Bromus rubens,1,-117.1847533,34.02064167,2019-04-02,5,INaturalist
Bromus rubens,1,-116.3893967,33.24120333,2019-04-02,5,INaturalist
Bromus rubens,1,-118.4527836,32.86585024,2019-04-02,10,INaturalist
Bromus rubens,1,-111.4443549,33.38980339,2019-04-04,5,INaturalist
Bromus rubens,1,-116.4244691,33.2244763,2019-04-06,9,INaturalist
Bromus rubens,1,-116.25049,34.11468,2019-03-30,10,INaturalist
Bromus rubens,1,-116.4776571,33.3532585,2019-04-08,5,INaturalist
Bromus rubens,1,-117.1890244,32.77604846,2019-04-09,24,INaturalist
Bromus rubens,1,-114.0659861,33.37680833,2019-04-06,5,INaturalist
Bromus rubens,1,-118.6310335,34.13715127,2019-04-10,6,INaturalist
Bromus rubens,1,-111.1139528,33.64526167,2017-03-27,5,INaturalist
Bromus rubens,1,-116.4443887,34.04544752,2019-04-09,5,INaturalist
Bromus rubens,1,-117.8034503,34.07414207,2019-04-11,10,INaturalist
Bromus rubens,1,-116.8762278,32.78686389,2019-04-11,100,INaturalist
Bromus rubens,1,-118.4711083,34.17192833,2019-04-10,10,INaturalist
Bromus rubens,1,-111.4580607,33.70992301,2019-04-12,198,INaturalist
Bromus rubens,1,-110.8833497,33.67010035,2019-04-13,24,INaturalist
